RMA                 Product  Serial Number   Failure Code         City           Delivery Document  Failures
T2014022048194      03-02    B36693884       Electrical Problem   New York       B20140221225853    1
T2014022135318      01-02    N64759677       No Problem Found     Los Angeles    B20140225168114    1
T2014022144418      03-09    K13991609       Electrical Problem   Los Angeles    B20140227208925    1
T2014022344866      02-09    T65071498       Electrical Problem   Los Angeles    B20140224210993    1
T2014022442515      01-02    Q54182609       Mechanical Problem   Los Angeles    B20140227200372    1
T2014022734952      03-09    R41569134       No Problem Found     New York       B20140228166503    1
T2014022849975      01-09    S40140026       Electrical Problem   New York       B20140305233900    1
T2014030101087      02-09    H49313590       Software Problem     New York       B20140314014049    1
T2014030110281      01-02    C22093936       No Problem Found     Atlanta        B20140303055558    1
T2014030115410      02-02    M33432262       Optical Problem      New York       B20140306078627    1
T2014030500556      02-09    Q77459064       Software Problem     New York       B20140310011729    1
T2014030549361      01-09    L83078290       Electrical Problem   Los Angeles    B20140307231126    1
T2014030609705      01-09    Q61332143       No Problem Found     New York       B20140307052949    1
T2014030648812      02-01    L94687684       Electrical Problem   New York       B20140310228652    1
T2014031428181      01-02    B94184234       No Problem Found     Atlanta        B20140317135990    1
T2014031525623      01-01    P55109898       No Problem Found     Los Angeles    B20140317124710    1
T2014031538051      02-09    J94648101       No Problem Found     New York       B20140318180529    1
T2014031628631      01-09    D19430623       No Problem Found     Los Angeles    B20140317138068    1
T2014031640237      04-01    G14520067       Mechanical Problem   New York       B20140319190226    1
T2014032134665      04-09    L58821701       No Problem Found     Los Angeles    B20140325165205    1
T2014032139794      04-09    Q25401742       Mechanical Problem   New York       B20140402188229    1
T2014032251651      01-02    Q65485681       Electrical Problem   New York       B20140326241422    1
T2014032328515      02-09    A19595108       No Problem Found     Atlanta        B20140325137505    1
T2014032351412      01-02    E91855719       Electrical Problem   Los Angeles    B20140403240342    1
T2014032615826      01-02    J65550772       Optical Problem      Los Angeles    B20140402080580    1
T2014032618175      01-02    F79563678       No Problem Found     Los Angeles    B20140328091163    1
T2014032726999      03-09    T17663996       No Problem Found     Chicago        B20140328130877    1
T2014032739798      04-09    J53238393       Mechanical Problem   Atlanta        B20140407188249    1
T2014032952129      01-02    H54037593       Electrical Problem   New York       B20140331243545    1
T2014040247028      04-09    F67868235       Electrical Problem   Los Angeles    B20140411220626    1
T2014040440544      03-02    F99654931       Mechanical Problem   New York       B20140417191616    1
T2014040535472      02-09    Q90789022       No Problem Found     Los Angeles    B20140407168807    1
T2014041229230      01-02    Q38854108       No Problem Found     Los Angeles    B20140414140799    1
T2014041249379      01-09    P86961824       Electrical Problem   New York       B20140415231217    1
T2014041505774      01-02    Q30493743       Software Problem     Atlanta        B20140416035195    1
T2014041624447      01-02    P87471302       No Problem Found     Los Angeles    B20140417119432    1
T2014041824382      01-02    R11721258       No Problem Found     New York       B20140421119158    1
T2014041838169      01-02    R48376448       No Problem Found     Atlanta        B20140421181086    1
T2014041936537      02-09    A62480708       No Problem Found     New York       B20140421173650    1
T2014041946385      02-09    B94196485       Electrical Problem   Los Angeles    B20140428217691    1
T2014042405257      01-02    B75276594       Software Problem     Los Angeles    B20140430032938    1
T2014042630249      01-01    K93190859       No Problem Found     New York       B20140428145359    1
T2014042700012      03-09    E81462154       Software Problem     New York       B20140501009226    1
T2014050844934      02-09    E18427022       Electrical Problem   Los Angeles    B20140516211273    1
T2014050947534      04-02    E93237341       Electrical Problem   Los Angeles    B20140513222804    1
T2014051039546      02-09    N37862343       Mechanical Problem   Atlanta        B20140514187137    1
T2014051451758      01-02    T44892681       Electrical Problem   Atlanta        B20140528241924    1
T2014051505572      01-02    K83723046       Software Problem     New York       B20140527034311    1
T2014051620831      01-02    A76079218       No Problem Found     Chicago        B20140520103199    1
T2014051630588      01-02    J26812403       No Problem Found     Chicago        B20140520146856    1
T2014051721034      04-09    E60386538       No Problem Found     Atlanta        B20140519104083    1
T2014051841678      01-09    B40734133       Mechanical Problem   Los Angeles    B20140521196678    1
T2014052144498      03-09    T66972765       Electrical Problem   New York       B20140527209295    1
T2014052221053      01-01    P59302305       No Problem Found     Los Angeles    B20140523104151    1
T2014052440043      04-02    T92887506       Mechanical Problem   Atlanta        B20140527189371    1
T2014052901615      02-09    Q73750019       Software Problem     Los Angeles    B20140604016435    1
T2014053005060      01-02    N47382875       Software Problem     Atlanta        B20140605032060    1
T2014053116788      04-02    H84052832       No Problem Found     Atlanta        B20140602084873    1
T2014060447551      04-02    R22916294       Electrical Problem   Los Angeles    B20140618222889    1
T2014060448476      02-03    J34591381       Electrical Problem   Chicago        B20140617227124    1
T2014060501520      02-09    Q25390016       Software Problem     Atlanta        B20140617015993    1
T2014060511115      04-02    H66137835       No Problem Found     Los Angeles    B20140606059342    1
T2014060631619      04-09    N94220504       No Problem Found     Los Angeles    B20140609151466    1
T2014060651223      01-02    G65780487       Electrical Problem   Los Angeles    B20140619239456    1
T2014060727093      01-02    P36168858       No Problem Found     Chicago        B20140609131277    1
T2014060800608      02-09    T77671152       Software Problem     Los Angeles    B20140619011944    1
T2014061215276      04-01    B91732096       Optical Problem      Los Angeles    B20140617078035    1
T2014061236654      01-02    P90947294       No Problem Found     Los Angeles    B20140613174220    1
T2014061305869      01-02    L32196062       Software Problem     Atlanta        B20140626035659    1
T2014061534803      01-09    H90127112       No Problem Found     New York       B20140616165834    1
T2014061838422      03-09    C30202058       Mechanical Problem   New York       B20140627182279    1
T2014062006567      01-02    Q82278281       Software Problem     Los Angeles    B20140623038787    1
T2014062027909      02-09    Q97447087       No Problem Found     New York       B20140624134769    1
T2014062037565      03-09    F39798736       No Problem Found     Atlanta        B20140623178345    1
T2014062051115      01-02    Q47788392       Electrical Problem   New York       B20140624238990    1
T2014062145093      02-09    K66570101       Electrical Problem   Atlanta        B20140703212008    1
T2014062648222      03-02    P38301326       Electrical Problem   Los Angeles    B20140703225963    1
T2014062732416      02-09    F66072001       No Problem Found     New York       B20140701155009    1
T2014062745414      02-09    S22780109       Electrical Problem   Atlanta        B20140630213414    1
T2014070532179      01-09    R53816592       No Problem Found     New York       B20140707153939    1
T2014070629029      01-09    P57779963       No Problem Found     Atlanta        B20140708139879    1
T2014070638427      03-09    P67132854       Mechanical Problem   New York       B20140709182295    1
T2014070924704      02-02    R18421169       No Problem Found     New York       B20140710120593    1
T2014071005909      01-02    B17496204       Software Problem     New York       B20140716035867    1
T2014071107646      01-01    H85464980       Software Problem     New York       B20140715043637    1
T2014071222112      01-09    B15581365       No Problem Found     New York       B20140714108994    1
T2014071225244      02-09    M41034996       No Problem Found     Chicago        B20140714122957    1
T2014071316087      01-02    K89717703       Optical Problem      Atlanta        B20140721081739    1
T2014071317429      01-02    M53435664       No Problem Found     New York       B20140714087828    1
T2014071320993      01-02    A38778245       No Problem Found     Atlanta        B20140714103916    1
T2014071334212      01-01    Q82429915       No Problem Found     New York       B20140715163165    1
T2014071349443      01-09    R76400608       Electrical Problem   Atlanta        B20140714231507    1
T2014071709918      04-01    T96860442       No Problem Found     Atlanta        B20140718053927    1
T2014071720402      02-09    S26921867       No Problem Found     Los Angeles    B20140718101240    1
T2014072031920      01-02    S85525299       No Problem Found     New York       B20140721152782    1
T2014072044142      01-01    N23493351       Mechanical Problem   Chicago        B20140728207704    1
T2014072442427      01-02    J25526056       Mechanical Problem   Chicago        B20140725199994    1
T2014072600487      02-09    T81924017       Software Problem     New York       B20140730011404    1
T2014080605938      01-02    L60035711       Software Problem     Los Angeles    B20140814036012    1
T2014080737802      02-09    L96024872       No Problem Found     Atlanta        B20140808179427    1
T2014080822500      02-09    L57661783       No Problem Found     Los Angeles    B20140811110760    1
T2014080936652      01-02    A40361365       No Problem Found     Atlanta        B20140812174209    1
T2014081006734      01-02    Q46432266       Software Problem     New York       B20140821039578    1
T2014081447275      04-09    S14893309       Electrical Problem   New York       B20140821221713    1
T2014081602340      04-09    Q52720179       Software Problem     New York       B20140818019824    1
T2014081604726      01-03    R24902152       Software Problem     New York       B20140818030494    1
T2014081611547      01-02    A14150612       No Problem Found     Atlanta        B20140819061300    1
T2014082011077      01-09    R24649002       No Problem Found     Atlanta        B20140821059156    1
T2014082109775      01-03    P68857465       No Problem Found     New York       B20140822053282    1
T2014082740700      02-03    Q96829999       Mechanical Problem   Los Angeles    B20140828192327    1
T2014082909671      01-03    H69013746       No Problem Found     Los Angeles    B20140901052805    1
T2014090349492      01-09    M65627077       Electrical Problem   New York       B20140904231753    1
T2014090442245      01-02    B49355132       Mechanical Problem   New York       B20140910199127    1
T2014091005993      01-02    D47222660       Software Problem     New York       B20140911036278    1
T2014091042713      01-02    D56462729       Mechanical Problem   New York       B20140911201280    1
T2014091140518      03-02    L35733832       Mechanical Problem   Los Angeles    B20140922191493    1
T2014091215703      01-03    N10472035       Optical Problem      New York       B20140925080003    1
T2014091300962      02-09    Q53320537       Software Problem     New York       B20140922013502    1
T2014091313058      04-01    F65270451       No Problem Found     New York       B20140916068110    1
T2014091723367      01-02    L97912228       No Problem Found     New York       B20140918114678    1
T2014091802255      04-09    L78881020       Software Problem     New York       B20140923019423    1
T2014091845536      02-09    E66301797       Electrical Problem   Los Angeles    B20140926213922    1
T2014091850881      01-02    Q82501054       Electrical Problem   Los Angeles    B20140923237924    1
T2014091854683      01-01    Q53968379       Electrical Problem   Atlanta        B20140919254925    1
T2014091911567      01-02    Q14636936       No Problem Found     New York       B20140922061414    1
T2014092118453      02-09    S35161935       No Problem Found     New York       B20140923092385    1
T2014092122080      01-02    B58251892       No Problem Found     Atlanta        B20140923108861    1
T2014092421118      01-09    F75425972       No Problem Found     Atlanta        B20140925104469    1
T2014092640739      02-02    E29605512       Mechanical Problem   Atlanta        B20141002192515    1
T2014092804814      01-03    Q20504707       Software Problem     New York       B20141008030901    1
T2014092835590      01-09    P98774715       No Problem Found     New York       B20140929169317    1
T2014100242315      01-02    L52328175       Mechanical Problem   Los Angeles    B20141006199455    1
T2014100249512      01-09    P48795156       Electrical Problem   New York       B20141014231828    1
T2014100401178      02-09    E81873646       Software Problem     Los Angeles    B20141009014460    1
T2014100417871      02-03    B46700235       No Problem Found     Atlanta        B20141006089707    1
T2014100843336      01-02    M86263881       Mechanical Problem   Atlanta        B20141013204118    1
T2014100934377      01-03    K68586342       No Problem Found     Chicago        B20141013163940    1
T2014101144618      02-09    Q36219401       Electrical Problem   Atlanta        B20141021209835    1
T2014101505602      01-02    M21082315       Software Problem     New York       B20141021034453    1
T2014101615425      02-02    N75832921       Optical Problem      Los Angeles    B20141022078697    1
T2014101641394      01-09    F97964510       Mechanical Problem   Atlanta        B20141021195400    1
T2014101709590      01-02    K29907831       No Problem Found     Atlanta        B20141021052458    1
T2014102343378      01-02    Q88408211       Mechanical Problem   Atlanta        B20141027204302    1
T2014102348736      02-01    P50769671       Electrical Problem   New York       B20141029228330    1
T2014102400225      02-09    B65353061       Software Problem     Atlanta        B20141031010212    1
T2014102509538      01-02    C40321732       No Problem Found     Los Angeles    B20141027052225    1
T2014102510811      01-09    F60050612       No Problem Found     New York       B20141027057951    1
T2014102511873      01-09    E85967661       No Problem Found     New York       B20141028062823    1
T2014103135100      03-02    M44271279       No Problem Found     New York       B20141103167136    1
T2014110215354      03-02    C11065012       Optical Problem      New York       B20141104078364    1
T2014110513582      02-09    P37067320       No Problem Found     Los Angeles    B20141106070528    1
T2014110709302      01-01    T40629228       No Problem Found     Los Angeles    B20141110051204    1
T2014110712006      02-09    N55730752       No Problem Found     New York       B20141110063403    1
T2014110729517      02-09    N72012299       No Problem Found     Chicago        B20141110142100    1
T2014111225173      02-09    F64276563       No Problem Found     New York       B20141113122643    1
T2014111250907      01-02    G14616406       Electrical Problem   Atlanta        B20141117238046    1
T2014111301035      02-09    Q67042061       Software Problem     Chicago        B20141119013815    1
T2014111314933      02-09    E62650161       Optical Problem      Los Angeles    B20141127076482    1
T2014111420523      01-02    F49540489       No Problem Found     Los Angeles    B20141118101772    1
T2014111601927      02-09    D88912702       Software Problem     New York       B20141118017863    1
T2014111627046      01-02    H35373187       No Problem Found     New York       B20141117131077    1
T2014111634685      01-09    H18917475       No Problem Found     Los Angeles    B20141117165301    1
T2014112046102      02-09    B88323079       Electrical Problem   Atlanta        B20141202216419    1
T2014112135194      02-09    T79565115       No Problem Found     Atlanta        B20141124167559    1
T2014112229907      02-09    R21841604       No Problem Found     Los Angeles    B20141125143855    1
T2014112601046      02-09    A65655882       Software Problem     Los Angeles    B20141204013872    1
T2014120401050      02-09    K46502214       Software Problem     Los Angeles    B20141212013889    1
T2014120546108      02-09    M60551420       Electrical Problem   New York       B20141210216435    1
T2014120739320      02-09    S52192061       Mechanical Problem   New York       B20141209186175    1
T2014120751529      01-02    H10203021       Electrical Problem   Los Angeles    B20141208240880    1
T2014121045652      02-09    C70863309       Electrical Problem   New York       B20141211214472    1
T2014121213459      04-09    G59134077       No Problem Found     Los Angeles    B20141215069981    1
T2014121248018      04-01    S92570980       Electrical Problem   New York       B20141226225063    1
T2014121328093      02-09    A21981423       No Problem Found     New York       B20141215135574    1
T2014121419447      02-09    C94543216       No Problem Found     New York       B20141215096920    1
T2014121705620      01-02    L74675312       Software Problem     New York       B20141219034528    1
T2014121706097      01-02    M28519102       Software Problem     New York       B20141223036747    1
T2014121727072      01-01    H75957601       No Problem Found     Los Angeles    B20141218131186    1
T2014121848328      03-02    H72597586       Electrical Problem   New York       B20150101226463    1
T2014121904963      01-02    Q74061804       Software Problem     Atlanta        B20141223031585    1
T2014122007124      01-02    T39225323       Software Problem     New York       B20150101041372    1
T2014122040743      02-02    L11733891       Mechanical Problem   Los Angeles    B20141225192537    1
T2014122115606      01-09    T54160572       Optical Problem      Los Angeles    B20141224079501    1
T2014122150709      01-02    C12253282       Electrical Problem   Chicago        B20141224237163    1
T2014010200275      02-09    G94743713       Software Problem     Chicago        B20140110010449    1
T2014010200508      02-09    D91524221       Software Problem     Atlanta        B20140114011514    1
T2014010201224      02-09    S35736686       Software Problem     New York       B20140103014695    1
T2014010201558      02-09    Q51962237       Software Problem     Los Angeles    B20140109016193    1
T2014010201700      02-09    M27419565       Software Problem     New York       B20140108016824    1
T2014010201702      02-09    D82439588       Software Problem     New York       B20140109016833    1
T2014010202058      04-09    A57230230       Software Problem     Los Angeles    B20140107018495    1
T2014010203021      03-02    R89606779       Software Problem     Los Angeles    B20140109022858    1
T2014010204182      01-09    L59961705       Software Problem     Los Angeles    B20140103028145    1
T2014010204183      01-09    L39832728       Software Problem     Atlanta        B20140116028152    1
T2014010204976      01-02    R92707230       Software Problem     Los Angeles    B20140103031662    1
T2014010206187      01-02    Q60863022       Software Problem     Atlanta        B20140103037127    1
T2014010207718      01-01    L22043737       Software Problem     New York       B20140103043976    1
T2014010209235      01-01    H73451928       No Problem Found     New York       B20140103050907    1
T2014010210014      01-02    G72986616       No Problem Found     Los Angeles    B20140103054379    1
T2014010211335      02-01    R68222271       No Problem Found     New York       B20140103060362    1
T2014010211599      01-02    G28231691       No Problem Found     Atlanta        B20140103061562    1
T2014010212057      04-09    Q32808422       No Problem Found     Los Angeles    B20140103063638    1
T2014010214358      01-09    R68765132       No Problem Found     Los Angeles    B20140103073879    1
T2014010214425      01-09    F62217170       No Problem Found     New York       B20140103074175    1
T2014010214674      02-09    Q20458582       No Problem Found     Los Angeles    B20140103075303    1
T2014010215135      04-09    Q31250255       Optical Problem      Los Angeles    B20140106077404    1
T2014010216842      01-02    G72333013       No Problem Found     Chicago        B20140103085116    1
T2014010217520      04-09    K78080083       No Problem Found     Atlanta        B20140103088212    1
T2014010219617      01-02    N39567133       No Problem Found     Los Angeles    B20140103097689    1
T2014010219969      01-02    Q24283478       No Problem Found     Atlanta        B20140103099236    1
T2014010220397      02-09    C73216520       No Problem Found     Los Angeles    B20140103101211    1
T2014010221157      02-09    R99345140       No Problem Found     Atlanta        B20140103104643    1
T2014010221827      01-09    Q58516901       No Problem Found     Los Angeles    B20140103107661    1
T2014010222242      02-09    J28546575       No Problem Found     Los Angeles    B20140103109528    1
T2014010222427      04-09    C71364341       No Problem Found     New York       B20140103110420    1
T2014010223319      02-09    Q52252668       No Problem Found     Los Angeles    B20140103114448    1
T2014010224336      04-09    K51560096       No Problem Found     Los Angeles    B20140103118947    1
T2014010225180      01-09    B75556796       No Problem Found     New York       B20140103122680    1
T2014010226734      01-02    T71228884       No Problem Found     New York       B20140103129668    1
T2014010226958      02-09    A41863716       No Problem Found     Los Angeles    B20140103130690    1
T2014010227900      01-02    G87557675       No Problem Found     Chicago        B20140103134729    1
T2014010228358      01-09    T48668789       No Problem Found     Los Angeles    B20140106136773    1
T2014010229704      02-03    P44375946       No Problem Found     New York       B20140103142925    1
T2014010229887      02-09    M39381280       No Problem Found     New York       B20140103143779    1
T2014010230695      04-02    P75500631       No Problem Found     Los Angeles    B20140103147339    1
T2014010231146      02-09    D33692913       No Problem Found     Los Angeles    B20140103149372    1
T2014010231423      01-09    D75960205       No Problem Found     Atlanta        B20140103150579    1
T2014010232304      01-02    M69262176       No Problem Found     New York       B20140103154524    1
T2014010232469      01-02    N53850797       No Problem Found     Chicago        B20140103155263    1
T2014010234234      03-02    N30468194       No Problem Found     New York       B20140103163291    1
T2014010234704      01-09    A17518086       No Problem Found     Los Angeles    B20140103165387    1
T2014010234755      02-01    H56799040       No Problem Found     Los Angeles    B20140103165611    1
T2014010234944      01-09    M92785427       No Problem Found     Atlanta        B20140103166462    1
T2014010235447      03-02    L27616776       No Problem Found     Atlanta        B20140103168692    1
T2014010235664      01-09    Q21485767       No Problem Found     New York       B20140103169681    1
T2014010235903      02-09    K77979502       No Problem Found     Atlanta        B20140106170778    1
T2014010236080      02-09    S14412888       No Problem Found     New York       B20140103171632    1
T2014010236333      02-01    R71031541       No Problem Found     Atlanta        B20140103172750    1
T2014010238516      02-09    S57062846       Mechanical Problem   New York       B20140107182661    1
T2014010239286      02-09    Q87203022       Mechanical Problem   New York       B20140116185988    1
T2014010239729      04-09    M71890091       Mechanical Problem   New York       B20140113187929    1
T2014010239923      04-09    Q45815572       Mechanical Problem   Atlanta        B20140106188821    1
T2014010240477      03-02    B44756777       Mechanical Problem   Atlanta        B20140103191292    1
T2014010240542      03-02    R96250319       Mechanical Problem   Los Angeles    B20140107191607    1
T2014010241413      01-09    J77136513       Mechanical Problem   New York       B20140103195494    1
T2014010241414      01-09    S99954647       Mechanical Problem   New York       B20140107195495    1
T2014010241416      01-09    E62173872       Mechanical Problem   Los Angeles    B20140106195504    1
T2014010242004      01-02    D8773PART       Mechanical Problem   Los Angeles    B20140103198087    1
T2014010242005      01-02    A53136753       Mechanical Problem   New York       B20140107198091    1
T2014010243814      01-01    Q33638698       Mechanical Problem   New York       B20140106206249    1
T2014010243964      01-01    C97779733       Mechanical Problem   Atlanta        B20140106206899    1
T2014010243966      01-01    H64292179       Mechanical Problem   New York       B20140114206909    1
T2014010244061      01-01    J78818016       Mechanical Problem   New York       B20140106207348    1
T2014010244071      01-01    L39164796       Mechanical Problem   New York       B20140116207405    1
T2014010244692      02-09    P42545332       Electrical Problem   Los Angeles    B20140103210174    1
T2014010244988      02-09    L24250509       Electrical Problem   Los Angeles    B20140106211525    1
T2014010244989      02-09    T17726683       Electrical Problem   Los Angeles    B20140113211531    1
T2014010245884      02-09    G87134211       Electrical Problem   Los Angeles    B20140114215426    1
T2014010245885      02-09    F41756354       Electrical Problem   New York       B20140106215433    1
T2014010245886      02-09    Q57560026       Electrical Problem   Los Angeles    B20140108215441    1
T2014010245887      02-09    J96291081       Electrical Problem   New York       B20140109215446    1
T2014010246119      02-09    K67652997       Electrical Problem   New York       B20140115216472    1
T2014010246120      02-09    F49863037       Electrical Problem   Atlanta        B20140108216480    1
T2014010247232      04-09    A28802643       Electrical Problem   New York       B20140114221541    1
T2014010248286      03-02    J31385076       Electrical Problem   Chicago        B20140108226287    1
T2014010248997      01-09    B90096116       Electrical Problem   New York       B20140106229457    1
T2014010249324      01-09    Q25705295       Electrical Problem   Los Angeles    B20140108230991    1
T2014010249711      01-09    M79568866       Electrical Problem   New York       B20140103232716    1
T2014010250720      01-02    J30204568       Electrical Problem   Atlanta        B20140106237220    1
T2014010251534      01-02    T98425112       Electrical Problem   Atlanta        B20140109240904    1
T2014010253411      01-02    E58359008       Electrical Problem   Atlanta        B20140114249317    1
T2014010254129      01-01    E19205690       Electrical Problem   New York       B20140116252518    1
T2014010254287      01-01    S22675293       Electrical Problem   New York       B20140107253187    1
T2014010300026      03-09    N31567487       Software Problem     New York       B20140107009307    1
T2014010300027      03-09    M45061542       Software Problem     Los Angeles    B20140107009308    1
T2014010300028      03-09    K15286704       Software Problem     New York       B20140117009316    1
T2014010300029      03-09    Q93366751       Software Problem     Los Angeles    B20140109009317    1
T2014010300473      02-09    M59617020       Software Problem     Atlanta        B20140107011356    1
T2014010300532      02-09    D15841523       Software Problem     New York       B20140113011617    1
T2014010300726      02-09    Q68169066       Software Problem     Los Angeles    B20140110012460    1
T2014010302059      04-09    K98834764       Software Problem     Atlanta        B20140108018498    1
T2014010302077      04-09    R30510008       Software Problem     New York       B20140116018588    1
T2014010303208      02-03    M89413291       Software Problem     New York       B20140115023731    1
T2014010303458      02-01    H50353406       Software Problem     Los Angeles    B20140108024866    1
T2014010303473      02-01    G84295056       Software Problem     New York       B20140106024926    1
T2014010303753      01-09    H61067309       Software Problem     Atlanta        B20140108026246    1
T2014010303768      01-09    R21045244       Software Problem     New York       B20140117026306    1
T2014010304102      01-09    C97473868       Software Problem     Los Angeles    B20140117027760    1
T2014010304248      01-09    B95244495       Software Problem     Los Angeles    B20140107028400    1
T2014010304249      01-09    R23310875       Software Problem     Los Angeles    B20140107028404    1
T2014010304250      01-09    D23235653       Software Problem     Chicago        B20140107028410    1
T2014010304977      01-02    S45368275       Software Problem     New York       B20140107031669    1
T2014010304980      01-02    Q55133283       Software Problem     New York       B20140107031692    1
T2014010305545      01-02    C67639196       Software Problem     Los Angeles    B20140106034197    1
T2014010305623      01-02    L91442458       Software Problem     Atlanta        B20140109034540    1
T2014010305624      01-02    D74167495       Software Problem     Los Angeles    B20140109034548    1
T2014010306189      01-02    Q35035463       Software Problem     New York       B20140106037137    1
T2014010307139      01-02    S10153072       Software Problem     Los Angeles    B20140106041438    1
T2014010307140      01-02    R32875328       Software Problem     Los Angeles    B20140109041444    1
T2014010307548      01-01    L18623431       Software Problem     Los Angeles    B20140106043185    1
T2014010308756      01-09    B42648502       No Problem Found     Chicago        B20140103048725    1
T2014010309040      01-02    T24956108       No Problem Found     Chicago        B20140107050014    1
T2014010309061      02-09    Q50321187       No Problem Found     New York       B20140107050124    1
T2014010312095      01-09    L70828446       No Problem Found     New York       B20140106063816    1
T2014010312487      02-09    L51293912       No Problem Found     Los Angeles    B20140107065585    1
T2014010313255      03-02    C33981459       No Problem Found     Los Angeles    B20140106069029    1
T2014010313410      04-09    K38745609       No Problem Found     Los Angeles    B20140106069748    1
T2014010314139      04-09    N58234218       No Problem Found     Los Angeles    B20140106072882    1
T2014010315395      02-03    F35960352       Optical Problem      Los Angeles    B20140109078552    1
T2014010315751      01-02    C33023694       Optical Problem      Atlanta        B20140108080245    1
T2014010315990      01-02    M96223362       Optical Problem      New York       B20140109081301    1
T2014010316180      01-02    Q70091908       Optical Problem      Chicago        B20140108082163    1
T2014010316860      01-02    E60342350       No Problem Found     Los Angeles    B20140107085208    1
T2014010317491      01-09    N45999559       No Problem Found     New York       B20140107088082    1
T2014010318261      02-09    M19180207       No Problem Found     Los Angeles    B20140106091541    1
T2014010318640      02-09    M93056026       No Problem Found     New York       B20140106093232    1
T2014010319782      02-02    Q95418377       No Problem Found     New York       B20140106098419    1
T2014010320041      02-03    G45764833       No Problem Found     New York       B20140106099609    1
T2014010320914      01-01    G73184380       No Problem Found     Los Angeles    B20140106103561    1
T2014010324903      04-02    N91520914       No Problem Found     Atlanta        B20140106121436    1
T2014010325074      02-01    T64915617       No Problem Found     Los Angeles    B20140106122182    1
T2014010326099      01-02    D76729858       No Problem Found     Los Angeles    B20140107126786    1
T2014010326369      02-09    E81414358       No Problem Found     New York       B20140106128054    1
T2014010326478      01-02    Q58545525       No Problem Found     New York       B20140106128557    1
T2014010327270      01-02    Q36894935       No Problem Found     Los Angeles    B20140106132068    1
T2014010327320      03-09    H70471902       No Problem Found     Atlanta        B20140107132294    1
T2014010327339      01-01    P69946042       No Problem Found     Atlanta        B20140106132372    1
T2014010327652      01-02    T40408092       No Problem Found     Los Angeles    B20140106133678    1
T2014010328062      02-09    Q78380055       No Problem Found     Los Angeles    B20140106135442    1
T2014010328261      03-02    H25415063       No Problem Found     New York       B20140106136364    1
T2014010328687      02-01    E26468838       No Problem Found     Los Angeles    B20140106138337    1
T2014010328882      03-09    N37121588       No Problem Found     Atlanta        B20140106139214    1
T2014010329050      02-09    Q75332428       No Problem Found     Los Angeles    B20140107139960    1
T2014010329094      01-02    B56224973       No Problem Found     New York       B20140106140143    1
T2014010329108      02-09    T32171528       No Problem Found     Los Angeles    B20140106140209    1
T2014010329167      01-01    N64049035       No Problem Found     New York       B20140106140512    1
T2014010331513      01-02    N93897702       No Problem Found     New York       B20140106150999    1
T2014010331727      01-09    K77168192       No Problem Found     Atlanta        B20140107151925    1
T2014010332502      04-09    T87224183       No Problem Found     New York       B20140107155426    1
T2014010332517      01-09    A65856031       No Problem Found     Atlanta        B20140106155497    1
