RMA	Product	Serial Number	Failure Code	Start Date	Finish Date	Failures
E0482973	CD	S33817461	Electrical Problem	20141210	20141224	1
E0482992	CO	B58695772	Electrical Problem	20141218	20141223	1
E0483001	CD	T85123683	Electrical Problem	20141016	20141024	1
E0483018	CL	R69611152	Electrical Problem	20140120	20140123	1
E0483037	PO	P52982866	Electrical Problem	20140215	20140217	1
E0483049	CD	M95899167	Electrical Problem	20140814	20140819	1
E0483055	CS	P43946038	Electrical Problem	20140213	20140214	1
E0483086	CS	C54498666	Electrical Problem	20140112	20140115	1
E0483145	CL	Q14614014	Electrical Problem	20140621	20140624	1
E0483149	PO	Q63710512	Electrical Problem	20140720	20140725	1
E0483168	CL	Q34821646	Electrical Problem	20141019	20141020	1
E0483181	CL	C96470334	Electrical Problem	20140521	20140603	1
E0483220	CO	A56631781	Electrical Problem	20140713	20140716	1
E0483259	CL	K74024747	Electrical Problem	20141120	20141121	1
E0483271	MO	T70213170	Electrical Problem	20140920	20140923	1
E0483315	PO	R37842598	Electrical Problem	20140307	20140312	1
E0483322	MO	P12177074	Electrical Problem	20141018	20141024	1
E0483347	CD	Q47069908	Electrical Problem	20140705	20140708	1
E0483368	MT	P63382857	Electrical Problem	20140802	20140805	1
E0483375	CD	P53741246	Electrical Problem	20141102	20141103	1
E0483377	PO	L19718402	Electrical Problem	20140124	20140127	1
E0483396	CL	P73711116	Electrical Problem	20140214	20140219	1
E0483414	PO	S55679175	Electrical Problem	20141220	20141222	1
E0483440	CL	P64546332	Electrical Problem	20140731	20140805	1
E0483449	PO	L24662249	Electrical Problem	20140910	20140912	1
E0483453	CL	G67098797	Electrical Problem	20140130	20140203	1
E0483454	PI	Q93891869	Electrical Problem	20140807	20140819	1
E0483476	MT	G29091944	Electrical Problem	20140521	20140604	1
E0483492	CL	E60767197	Electrical Problem	20141023	20141028	1
E0483514	MC	F12021892	Electrical Problem	20140730	20140808	1
E0483522	PO	F86686558	Electrical Problem	20140516	20140527	1
E0483548	CL	Q71330078	Electrical Problem	20140924	20140926	1
E0483550	CL	C36597216	Electrical Problem	20140306	20140307	1
E0483557	CO	H11536445	Electrical Problem	20140718	20140722	1
E0483579	PO	Q56537002	Electrical Problem	20141212	20141217	1
E0483600	CL	T80643558	Electrical Problem	20141115	20141119	1
E0483611	CL	C61933573	Electrical Problem	20140503	20140513	1
E0483636	CD	G12634140	Electrical Problem	20140810	20140814	1
E0483641	MC	S18252983	Electrical Problem	20140625	20140627	1
E0483651	CO	M63144810	Electrical Problem	20141206	20141209	1
E0483686	PO	B65644773	Electrical Problem	20140628	20140708	1
E0483697	PO	S50453193	Electrical Problem	20141026	20141028	1
E0483699	CO	B62221267	Electrical Problem	20141009	20141010	1
E0483720	BH	B11963605	Electrical Problem	20140329	20140401	1
E0483721	CL	E24751796	Electrical Problem	20141031	20141111	1
E0483728	CD	S46572948	Electrical Problem	20140608	20140610	1
E0483739	CD	E68311159	Electrical Problem	20140329	20140407	1
E0483755	CD	J13128665	Electrical Problem	20140530	20140603	1
E0483761	MC	Q77792313	Electrical Problem	20141031	20141104	1
E0483789	CL	M74121226	Electrical Problem	20141212	20141217	1
E0483809	MO	R25211839	Electrical Problem	20141109	20141111	1
E0483810	PO	L96686448	Electrical Problem	20141210	20141211	1
E0483851	CL	Q27776229	Electrical Problem	20140329	20140401	1
E0483882	CL	C35634421	Electrical Problem	20140531	20140606	1
E0483890	CO	H42170421	Electrical Problem	20140521	20140523	1
E0483912	PO	Q30672048	Electrical Problem	20140529	20140603	1
E0483931	CO	T76545557	Electrical Problem	20141126	20141128	1
E0483947	CO	E47141983	Electrical Problem	20140427	20140428	1
E0483952	BO	S83951382	Electrical Problem	20141108	20141112	1
E0483960	PO	C92560969	Electrical Problem	20140412	20140415	1
E0483992	CO	P93845890	Electrical Problem	20140906	20140909	1
E0484003	CD	C88801200	Electrical Problem	20140920	20140923	1
E0484004	CO	Q84401510	Electrical Problem	20140123	20140124	1
E0484009	BH	R79138908	Electrical Problem	20140328	20140401	1
E0484022	CD	Q79840076	Electrical Problem	20140904	20140915	1
E0484030	CO	C60843637	Electrical Problem	20140806	20140811	1
E0484039	PL	T68909189	Electrical Problem	20141017	20141023	1
E0484045	CL	F90744470	Electrical Problem	20140604	20140605	1
E0484064	PO	Q88709114	Electrical Problem	20141023	20141027	1
E0484075	CO	H42386698	Electrical Problem	20140419	20140422	1
E0484097	CO	L92916582	Electrical Problem	20140424	20140425	1
E0484103	CO	S72690647	Electrical Problem	20140517	20140519	1
E0484115	CL	E59616635	Electrical Problem	20140314	20140326	1
E0484134	CD	B54931120	Electrical Problem	20141105	20141111	1
E0484161	CL	Q87092929	Electrical Problem	20140507	20140512	1
E0484181	CL	G49874537	Electrical Problem	20140924	20140929	1
E0484189	CO	L53540167	Electrical Problem	20140125	20140130	1
E0484191	CO	E99601689	Electrical Problem	20140301	20140303	1
E0484198	PO	D95191844	Electrical Problem	20140815	20140828	1
E0484205	PO	Q31272132	Electrical Problem	20140618	20140624	1
E0484207	CD	D22763234	Electrical Problem	20140508	20140512	1
E0484223	MT	J43665362	Electrical Problem	20140913	20140917	1
E0484269	PI	T21258659	Electrical Problem	20140702	20140703	1
E0484284	PO	Q18060178	Electrical Problem	20140312	20140314	1
E0484296	CL	C26928689	Electrical Problem	20140522	20140526	1
E0484313	CS	R67533328	Electrical Problem	20140105	20140107	1
E0484393	CO	K20116544	Electrical Problem	20140412	20140421	1
E0484402	PL	S26435302	Electrical Problem	20140824	20140826	1
E0484436	CL	D62015002	Electrical Problem	20140125	20140128	1
E0484442	PO	M26421754	Electrical Problem	20140315	20140318	1
E0484449	PO	H70097255	Electrical Problem	20141004	20141006	1
E0484456	CL	J45695313	Electrical Problem	20140307	20140312	1
E0484461	CL	H13030425	Electrical Problem	20141123	20141124	1
E0484465	CD	Q59077914	Electrical Problem	20140104	20140117	1
E0484475	CD	F60360254	Electrical Problem	20140711	20140714	1
E0484486	CD	F20698708	Electrical Problem	20141214	20141215	1
E0484529	CD	K26970808	Electrical Problem	20140727	20140729	1
E0484538	CL	H67955476	Electrical Problem	20140222	20140226	1
E0484552	CO	N76706920	Electrical Problem	20140803	20140804	1
E0484580	CL	B48338035	Electrical Problem	20141107	20141111	1
E0484607	CO	M92999001	Electrical Problem	20141031	20141105	1
E0484652	PO	R99898379	Electrical Problem	20140621	20140625	1
E0484686	CO	T62408777	Electrical Problem	20140126	20140127	1
E0484701	MO	Q80125992	Electrical Problem	20141018	20141021	1
E0484744	PO	J63323021	Electrical Problem	20140207	20140220	1
E0484751	CD	J16120680	Electrical Problem	20140313	20140327	1
E0484769	MO	D30820075	Electrical Problem	20140920	20140925	1
E0484781	CL	N94985044	Electrical Problem	20141210	20141212	1
E0484785	CL	P25192110	Electrical Problem	20140820	20140825	1
E0484786	CO	C90378166	Electrical Problem	20140116	20140123	1
E0484817	PO	C38974145	Electrical Problem	20140221	20140226	1
E0484837	PO	E99149112	Electrical Problem	20140215	20140218	1
E0484846	PO	D42777537	Electrical Problem	20141117	20141119	1
E0484853	MO	K40520165	Electrical Problem	20140822	20140828	1
E0484860	CL	B58106557	Electrical Problem	20140104	20140117	1
E0484870	CL	N94133677	Electrical Problem	20141206	20141208	1
E0484879	CD	C69665401	Electrical Problem	20141108	20141112	1
E0484899	CL	N60214437	Electrical Problem	20141029	20141030	1
E0484904	CL	T88641834	Electrical Problem	20140529	20140612	1
E0484937	CD	Q15103428	Electrical Problem	20140326	20140327	1
E0484960	CO	S60948456	Electrical Problem	20141210	20141211	1
E0484975	CD	E96727363	Electrical Problem	20140420	20140422	1
E0484979	CL	M67385963	Electrical Problem	20140507	20140509	1
E0484987	BH	Q66638352	Electrical Problem	20141012	20141015	1
E0485000	PO	Q44110563	Electrical Problem	20140321	20140325	1
E0485008	CL	R62043195	Electrical Problem	20141017	20141022	1
E0485019	CL	H31985237	Electrical Problem	20140809	20140821	1
E0485020	CL	E99568280	Electrical Problem	20140824	20140903	1
E0485081	CL	S63826489	Electrical Problem	20140828	20140829	1
E0485092	PO	G92124341	Electrical Problem	20141218	20141219	1
E0485104	CL	A91659020	Electrical Problem	20140912	20140916	1
E0485123	CO	S65766831	Electrical Problem	20141211	20141212	1
E0485135	CO	Q27808753	Electrical Problem	20141203	20141205	1
E0485137	CL	K99261533	Electrical Problem	20140822	20140902	1
E0485148	MO	N36376111	Electrical Problem	20141010	20141023	1
E0485168	MO	T59733396	Electrical Problem	20140725	20140728	1
E0485264	CL	J10483674	Electrical Problem	20140802	20140804	1
E0485276	CO	E16422851	Electrical Problem	20141029	20141030	1
E0485281	CD	R76782119	Electrical Problem	20140502	20140506	1
E0485293	CO	Q13506727	Electrical Problem	20141024	20141029	1
E0485337	PO	T71004050	Electrical Problem	20140920	20140924	1
E0485367	CD	D47475111	Electrical Problem	20140605	20140610	1
E0485376	MC	Q19541957	Electrical Problem	20140509	20140514	1
E0485385	MC	K69980194	Electrical Problem	20140413	20140415	1
E0485398	BH	R38407383	Electrical Problem	20140306	20140311	1
E0485399	CO	B62565478	Electrical Problem	20141017	20141021	1
E0485404	CO	L10755130	Electrical Problem	20140920	20140925	1
E0485417	MT	M78910533	Electrical Problem	20141114	20141117	1
E0485437	PO	F84384081	Electrical Problem	20140720	20140721	1
E0485453	PO	E69366035	Electrical Problem	20141102	20141105	1
E0485466	CS	H40394093	Electrical Problem	20141204	20141208	1
E0485508	CL	S42926409	Electrical Problem	20141010	20141020	1
E0485526	CL	C98274067	Electrical Problem	20140224	20140225	1
E0485538	PL	C94768260	Electrical Problem	20140822	20140825	1
E0485551	PO	Q99464097	Electrical Problem	20140622	20140625	1
E0485572	BH	M92193865	Electrical Problem	20140315	20140317	1
E0485584	CO	R40699452	Electrical Problem	20140816	20140819	1
E0485589	PI	D70755627	Electrical Problem	20140723	20140725	1
E0485600	BH	T84820834	Electrical Problem	20140306	20140310	1
E0485619	CL	J97402991	Electrical Problem	20140305	20140310	1
E0485663	CD	R94689387	Electrical Problem	20140626	20140702	1
E0485684	CO	Q12996696	Electrical Problem	20140627	20140702	1
E0485699	CS	S85252014	Electrical Problem	20140731	20140801	1
E0485709	CO	H86215479	Electrical Problem	20140912	20140917	1
E0485798	CO	G41239003	Electrical Problem	20141207	20141208	1
E0485800	CO	D74431433	Electrical Problem	20141205	20141209	1
E0485803	MO	R43660220	Electrical Problem	20140202	20140205	1
E0485814	BO	D32609182	Electrical Problem	20141214	20141216	1
E0485851	CO	P23089948	Electrical Problem	20140702	20140703	1
E0485882	CD	G54590566	Electrical Problem	20140822	20140827	1
E0485891	MC	L60223676	Electrical Problem	20140427	20140429	1
E0485911	CS	S70553238	Electrical Problem	20140822	20140828	1
E0485939	MO	F47199676	Electrical Problem	20140802	20140812	1
E0485955	PO	F17614011	Electrical Problem	20140404	20140415	1
E0485968	CL	Q58627585	Electrical Problem	20140710	20140722	1
E0486017	CL	Q46746000	Electrical Problem	20140816	20140829	1
E0486027	PO	T93101443	Electrical Problem	20140321	20140325	1
E0486044	PO	A52122025	Electrical Problem	20141106	20141107	1
E0486046	CL	G54893096	Electrical Problem	20141015	20141023	1
E0486073	MC	P42202586	Electrical Problem	20140712	20140714	1
E0486087	CL	S42063519	Electrical Problem	20141011	20141015	1
E0486097	MO	S44589310	Electrical Problem	20140918	20140929	1
E0486111	BH	N88232528	Electrical Problem	20140402	20140407	1
E0486163	MC	R40800817	Electrical Problem	20140628	20140702	1
E0486183	CL	L14016798	Electrical Problem	20140709	20140711	1
E0486204	CL	R47786460	Electrical Problem	20140524	20140529	1
E0486216	CO	N12096348	Electrical Problem	20140127	20140207	1
E0486223	CO	K43238182	Electrical Problem	20141212	20141224	1
E0486242	CL	N82514602	Electrical Problem	20140524	20140528	1
E0486264	CL	L3401PART	Electrical Problem	20140517	20140520	1
E0486274	CO	N81112654	Electrical Problem	20140806	20140811	1
E0486285	PO	C24140978	Electrical Problem	20141218	20141222	1
E0486309	CL	M70306584	Electrical Problem	20140501	20140502	1
E0486314	CL	H58413835	Electrical Problem	20140711	20140714	1
E0486342	CO	H30232109	Electrical Problem	20140803	20140806	1
E0486362	PO	Q99064885	Electrical Problem	20140620	20140625	1
E0486364	CL	B40933676	Electrical Problem	20140706	20140707	1
E0486374	MO	B40833785	Electrical Problem	20141126	20141201	1
E0486398	CO	Q61039556	Electrical Problem	20141220	20141223	1
E0486409	PO	K54321005	Electrical Problem	20141003	20141008	1
E0486452	CD	D47833637	Electrical Problem	20140723	20140728	1
E0486463	PO	F10799209	Electrical Problem	20140409	20140410	1
E0486479	CL	C27593434	Electrical Problem	20140329	20140401	1
E0486514	PO	R23696066	Electrical Problem	20140328	20140408	1
E0486524	CS	M91949811	Electrical Problem	20140209	20140210	1
E0486561	BH	R49688082	Electrical Problem	20140917	20140930	1
E0486572	CO	L79805006	Electrical Problem	20141123	20141126	1
E0486586	CL	A79607437	Electrical Problem	20140418	20140422	1
E0486647	CS	G96708890	Electrical Problem	20141207	20141209	1
E0486660	MC	G61113878	Electrical Problem	20140927	20141010	1
E0486673	BO	D73263643	Electrical Problem	20140807	20140821	1
E0486711	PO	Q15174617	Electrical Problem	20141106	20141111	1
E0486755	PO	S84342608	Electrical Problem	20141221	20141226	1
E0486756	CL	M67212144	Electrical Problem	20140126	20140129	1
E0486766	CL	S69293368	Electrical Problem	20141218	20141222	1
E0486774	MC	D91170889	Electrical Problem	20140511	20140513	1
E0486784	CL	F5699PART	Electrical Problem	20140813	20140822	1
E0486846	CL	T44583850	Electrical Problem	20140109	20140114	1
E0486867	CD	M54455313	Electrical Problem	20140807	20140814	1
E0486882	CO	H76663258	Electrical Problem	20140725	20140728	1
E0486935	CL	F66852870	Electrical Problem	20140111	20140122	1
E0486945	CL	M20860577	Electrical Problem	20141024	20141029	1
E0486969	CS	Q60673381	Electrical Problem	20141106	20141113	1
E0486981	CD	R15877248	Electrical Problem	20140629	20140701	1
E0486992	CL	H71511888	Electrical Problem	20140920	20140924	1
E0487001	CL	S39844740	Electrical Problem	20140627	20140702	1
E0487029	CL	J55907682	Electrical Problem	20140724	20140729	1
E0487035	CL	F73990958	Electrical Problem	20141008	20141016	1
E0487044	CL	N75708523	Electrical Problem	20140621	20140623	1
E0487070	MC	Q39252837	Electrical Problem	20141220	20141222	1
E0487077	BO	T99696058	Electrical Problem	20141210	20141211	1
E0487096	PO	P66516078	Electrical Problem	20140612	20140624	1
E0487103	CO	G26229706	Electrical Problem	20140524	20140526	1
E0487127	CL	B45668177	Electrical Problem	20141009	20141010	1
E0487135	PO	E91110058	Electrical Problem	20140419	20140422	1
E0487150	PO	Q29481523	Electrical Problem	20140602	20140611	1
E0487172	BO	G39992895	Electrical Problem	20140316	20140317	1
E0487184	CO	J58688947	Electrical Problem	20140827	20140905	1
E0487185	CL	L53829454	Electrical Problem	20140822	20140902	1
E0487188	CL	R47068204	Electrical Problem	20140521	20140526	1
E0487199	CL	F98297586	Electrical Problem	20141214	20141215	1
E0487220	PL	Q77858183	Electrical Problem	20140918	20140922	1
E0487230	MO	A16844056	Electrical Problem	20141126	20141201	1
E0487247	PO	D83269237	Electrical Problem	20141010	20141014	1
E0487260	CO	B39619697	Electrical Problem	20140625	20140630	1
E0487271	CO	K76730327	Electrical Problem	20140608	20140610	1
E0487282	CL	H63715215	Electrical Problem	20141002	20141015	1
E0487291	CO	F25496183	Electrical Problem	20140215	20140225	1
E0487302	CD	Q41220707	Electrical Problem	20141004	20141007	1
E0487319	PL	B58110306	Electrical Problem	20141016	20141017	1
E0487354	MC	T73750637	Electrical Problem	20140514	20140519	1
E0487362	CD	M24132178	Electrical Problem	20141029	20141031	1
E0487385	CL	H88204972	Electrical Problem	20140207	20140211	1
E0487406	MO	D72283656	Electrical Problem	20140221	20140226	1
E0487459	CD	N14388904	Electrical Problem	20140321	20140324	1
E0487464	CD	L66299058	Electrical Problem	20140403	20140407	1
E0487476	CL	B80955803	Electrical Problem	20140831	20140908	1
E0487479	BH	E17513209	Electrical Problem	20140123	20140124	1
E0487503	PO	H88481277	Electrical Problem	20140206	20140211	1
E0487515	CL	Q34717864	Electrical Problem	20140727	20140805	1
E0487521	CL	G52235710	Electrical Problem	20140924	20140925	1
E0487549	CL	K99464985	Electrical Problem	20140202	20140212	1
E0487553	CD	Q70506920	Electrical Problem	20140713	20140715	1
E0487590	CD	L51268056	Electrical Problem	20140614	20140617	1
E0487625	MT	T82754585	Electrical Problem	20140904	20140916	1
E0487635	PO	B71035690	Electrical Problem	20141208	20141209	1
E0487658	MO	M74830738	Electrical Problem	20141012	20141022	1
E0487666	PO	D99184499	Electrical Problem	20140516	20140520	1
E0487682	CO	R51667657	Electrical Problem	20140912	20140916	1
E0487698	PO	K23123411	Electrical Problem	20140524	20140527	1
E0487727	MC	S35660451	Electrical Problem	20140301	20140304	1
E0487738	PD	K78473364	Electrical Problem	20140608	20140609	1
E0487742	CL	Q28685394	Electrical Problem	20141116	20141117	1
E0487750	PL	A11988224	Electrical Problem	20140820	20140825	1
E0487769	CO	S54443290	Electrical Problem	20140220	20140225	1
E0487778	CL	T23600119	Electrical Problem	20140622	20140627	1
E0487799	PO	T62728002	Electrical Problem	20140305	20140306	1
E0487809	PD	C58171087	Electrical Problem	20140430	20140502	1
E0487867	CD	H61895965	Electrical Problem	20140614	20140626	1
E0487869	CS	N67439832	Electrical Problem	20140426	20140430	1
E0487875	CL	P56542936	Electrical Problem	20140214	20140221	1
E0487885	PO	Q34592070	Electrical Problem	20140326	20140331	1
E0487911	MO	F18890021	Electrical Problem	20140815	20140820	1
E0487936	CL	M39572395	Electrical Problem	20140914	20140915	1
E0487951	PO	D93651051	Electrical Problem	20140201	20140205	1
E0488009	PL	C52792838	Electrical Problem	20140828	20140829	1
E0488024	CL	F89522245	Electrical Problem	20140717	20140722	1
E0488037	CL	K76822596	Electrical Problem	20140830	20140903	1
E0488038	CO	N37694467	Electrical Problem	20140525	20140527	1
E0488046	PO	J81998289	Electrical Problem	20140924	20140929	1
E0488054	PO	A74741723	Electrical Problem	20140531	20140604	1
E0488067	CL	S93089272	Electrical Problem	20140829	20140905	1
E0488115	PI	D91578074	Electrical Problem	20140731	20140814	1
E0488146	CD	E60083672	Electrical Problem	20140719	20140721	1
E0488149	CD	R40635196	Electrical Problem	20140711	20140714	1
E0488166	CO	H99948143	Electrical Problem	20141120	20141128	1
E0488177	MC	C40970931	Electrical Problem	20140413	20140416	1
E0488192	CL	T27005862	Electrical Problem	20141016	20141021	1
E0488220	MO	J41117945	Electrical Problem	20141005	20141017	1
E0488236	CO	R60333032	Electrical Problem	20141031	20141105	1
E0488247	CD	Q95938672	Electrical Problem	20140312	20140318	1
E0488273	PO	H92550033	Electrical Problem	20140426	20140430	1
E0488275	CO	T88332464	Electrical Problem	20140503	20140505	1
